	{華中}
𨮞	金鹿土
𨮮	金面且
𨯂	金雨辰
𨯄	金鹿火
𨯇	金麻牛
𨯘	金亻僉
𨯟	金雨隹
𨯤	金𣎆女
𨯹	金⺮馬
𨰇	金僉欠
𨰊	金𣎆立
𨰒	齒口金
𨰞	金麻非
𨰠	金𣎆羊
𨰢	齒殳金
𨰿	钅𠂉乙
𨱀	钅一彑
𨱂	钅亻匕
𨱄	钅屮凵
𨱅	钅人彡
𨱈	钅木口
𨱏	钅艹合
𨱐	钅尸雨
𨱓	钅隹灬
𨱛	镸八厶
𨱜	镸十又
𨱣	镸又又
𨱤	镸冖几
𨱦	镸屮凵
𨱧	镸幺力
𨱨	镸予丿
𨱩	镸千又
𨱪	長⺆亠
𨱫	镸卄二
𨱬	镸⺊口
𨱭	镸口丂
𨱮	镸口又
𨱯	镸人小
𨱲	镸止匕
𨱴	镸夊口
𨱷	镸壬儿
𨱺	镸士廾
𨱻	镸士口
𨱽	長电丿
𨱾	長大弓
𨱿	镸戈𠂇
𨲀	镸王廾
𨲁	镸夭小
𨲃	镸口木
𨲆	镸⺌⺼
𨲆	镸⺌月
𨲇	镸宀示
𨲒	镸彐水
𨲘	镸耂日
𨲚	镸禾壬
𨲛	镸䒑自
𨲜	镸戶冊
𨲜	镸户冊
𨲠	镸⺶工
𨲪	镸龶貝
𨲳	镸曲辰
𨲴	镸艹禺
𨳗	門八厶
𨳘	門七凵
𨳙	門冂人
𨳙	門冂入
𨳚	門八刀
𨳛	門乃乀
𨳟	門丩又
𨳠	門冂乂
𨳢	門亻卜
𨳣	門八丂
𨳤	門弓丨
𨳦	門又又
𨳧	門𠂇又
𨳨	門一大
𨳪	門一巾
𨳬	門彐丿
𨳰	門𠂉十
𨳱	𠂉十門
𨳲	門丶下
𨳳	門丶王
𨳴	門⺈小
𨳶	門巳七
𨳷	門宀匕
𨳺	門丿夫
𨳻	門宀儿
𨳻	門宀几
𨳼	門卄二
𨳽	門匚コ
𨳾	門𠂇口
𨳿	門夕卜
𨴀	門冂口
𨴆	門扌丁
𨴈	門不一
𨴋	門亠幺
𨴌	門厶彐
𨴍	門厶牛
𨴐	門⺧儿
𨴑	門匚王
𨴒	門丰刀
𨴔	門屮屮
𨴕	門冊一
𨴘	門厶丑
𨴙	二門火
𨴚	一廾門
𨴛	門耂匕
𨴜	門𠂇月
𨴞	門𠂉ヰ
𨴠	門彳亍
𨴢	門夕夕
𨴣	門宀女
𨴤	門氵亡
𨴦	又丰門
𨴧	門亻瓜
𨴨	門木口
𨴫	門爫子
𨴬	門⺧口
𨴭	門マ用
𨴮	門䒑心
𨴱	門厶矢
𨴷	門禾乃
𨴹	門耂子
𨴺	門木寸
𨴽	門口心
𨵁	門亻白
𨵆	門丿糸
𨵇	門女欠
𨵉	門土𢆉
𨵊	門戈戈
𨵋	門禾女
𨵐	門⺼殳
𨵐	門月殳
𨵕	門又虫
𨵚	門日木
𨵛	門日月
𨵜	門口电
𨵝	門水日
𨵢	門目大
𨵬	門阝艮
𨵮	門千里
𨵯	門龶皿
𨵱	門尸至
𨵲	門犬皿
𨵳	門世木
𨵷	門日皿
𨵹	門臼廾
𨶀	門艹合
𨶄	二門隹
𨶅	門⺷灬
𨶊	亻隹門
𨶋	門癶示
𨶌	門米辶
𨶎	門口貝
𨶐	門舌辶
𨶑	門自犬
𨶒	門爫臼
𨶕	門羊欠
𨶛	門工貝
𨶡	門言心
𨶤	門立早
𨶩	門⺷皿
𨶲	門隹灬
𨶳	門示見
𨶹	門糹糸
𨶻	門立里
𨷈	門艹禺
𨷏	門雨田
𨷔	門千黑
𨷖	門𠁁斤
𨷘	門雨而
𨷜	門馬文
𨷫	金隹門
𨷮	門門門
𨸉	门艹合
𨸋	门隹灬
𨸏	戶ココ
𨸚	阝乃乀
𨸞	阝一幺
𨸟	阝匚乂
𨸠	阝十又
𨸣	阝八刀
𨸤	阝勹人
𨸦	阝一廾
𨸧	阝一彑
𨸨	阝冂二
𨸪	阝土儿
𨸫	阝亠幺
𨸭	阝匚口
𨸮	阝八口
𨸰	阝尸九
𨸱	阝冂土
𨸲	阝亠巾
𨸳	阝乃子
𨸶	阝干丷
𨸹	阝不一
𨸻	阝夊厶
𨸼	阝心丿
𨸽	阝弋又
𨸾	阝丬匕
𨹀	阝止匕
𨹂	阝⺌兀
𨹃	阝乃木
𨹄	阝几木
𨹆	阝厶⺼
𨹆	阝厶月
𨹈	阝人火
𨹉	阝人水
𨹋	阝勹王
𨹎	阝日匕
𨹑	阝人王
𨹑	阝入王
𨹒	阝戊丶
𨹓	阝夊巾
𨹔	阝⺈巴
𨹕	阝宀巳
𨹖	阝戶匕
𨹖	阝户匕
𨹗	阝䒑廾
𨹘	阝广予
𨹚	阝戊㇆
𨹛	阝方土
𨹝	阝口巴
𨹞	阝大日
𨹣	阝尸巴
𨹤	阝丿虫
𨹦	阝口木
𨹧	阝龶夊
𨹨	阝目匕
𨹭	阝不口
𨹰	阝罒二
𨹲	阝夊彡
𨹳	阝禾乃
𨹴	阝爫子
𨹹	阝月月
𨹺	阝𠂤十
𨹾	阝𱼀火
𨺁	阝日木
𨺄	阝爫壬
𨺆	阝目大
𨺉	阝爫木
𨺍	阝大电
𨺑	阝⺊早
𨺓	阝夊生
𨺖	阝尤尤
𨺗	阝止龰
𨺙	阝臼儿
𨺛	阝夊正
𨺟	阝⺊貝
𨺧	阝丷酉
𨺯	阝田心
𨺰	阝⺷大
𨺸	阝日卯
𨺹	阝禾火
𨺺	阝臼人
𨺾	阝爫正
𨺿	阝耳女
𨻁	阝自心
𨻃	阝匚非
𨻄	阝自木
𨻆	阝⺁虎
𨻇	阝艹合
𨻈	阝⺌貝
𨻈	阝小貝
𨻐	阝豕土
𨻑	𠂤十烏
𨻕	阝文耳
𨻖	阝米夊
𨻝	阝大镸
𨻟	阝口辰
𨻡	阝𠂤辶
𨻢	阝而火
𨻧	阝卯田
𨻨	阝巛貝
𨻫	阝立电
𨻬	阝自犬
𨻰	阝木臼
𨻰	阝木𦥑
𨻵	阝山隹
𨻷	阝广隶
𨻹	阝⺷皿
𨻺	阝匕頁
𨻼	阝非土
𨻽	阝田糸
𨼂	阝其土
𨼅	阝山金
𨼋	阝虍业
𨼌	阝金欠
𨼏	阝而而
𨼚	阝非心
𨼝	阝門木
𨼩	阝壴口
𨼫	阝虍豕
𨼯	阝豸艮
𨼴	阝尚田
𨼽	𠂤虍豕
𨽇	阝魚亍
𨽹	匕矢隶
𨽻	匕示隶
𨽾	上示隶
𨾆	㇆一隹
𨾉	⺈丶隹
𨾌	一𬺰隹
𨾐	⺄十隹
𨾑	⺄十隹
𨾑	乛十隹
𨾒	亠几隹
𨾕	ユ人隹
𨾗	㇉大隹
𨾗	隹乛大
𨾙	匕十隹
𨾜	隹二厶
𨾝	八乂隹
𨾟	𠂉十隹
𨾢	工丂隹
𨾣	予丿隹
𨾤	丿夫隹
𨾧	巳七隹
𨾨	丶王隹
𨾪	亻寸隹
𨾬	𠂇工隹
𨾭	𠂇工隹
𨾮	大丷隹
𨾯	女又隹
𨾰	厶干隹
𨾱	厶口隹
𨾲	牛八隹
𨾳	日乂隹
𨾴	口口隹
𨾵	女口隹
𨾶	宀女隹
𨾷	⺧儿隹
𨿂	亻壬隹
𨿃	亻壬隹
𨿅	夕口隹
𨿆	艹乂隹
𨿈	隹灬厶
𨿉	彐彐隹
𨿊	マ丑隹
𨿐	爫寸隹
𨿑	日干隹
𨿒	彳殳隹
𨿔	口⺼隹
𨿔	口月隹
𨿖	禾几隹
𨿗	犭王隹
𨿙	尤彡隹
𨿚	爫子隹
𨿞	隹灬口
𨿟	木口隹
𨿢	木日隹
𨿥	勹米隹
𨿦	立口隹
𨿧	⺊早隹
𨿨	十早隹
𨿬	龶月隹
𨿱	戶⺼隹
𨿱	户月隹
𨿴	巛田隹
𨿸	爫夫隹
𨿽	厶虫隹
𨿿	千里隹
𩀂	合廾隹
𩀄	覀女隹
𩀅	彑𧰨隹
𩀆	穴犬隹
𩀉	古⺼隹
𩀉	古月隹
𩀋	而大隹
𩀎	目犬隹
𩀑	臼人隹
𩀒	禾欠隹
𩀕	亻言隹
𩀗	隹⺁虎
𩀘	爫缶隹
𩀘	𱼀缶隹
𩀚	罒水隹
𩀟	隹隹乃
𩀤	革二隹
𩀧	車斤隹
𩀩	⺮立隹
𩀭	日辰隹
𩀯	尚巾隹
𩀱	隹隹夊
𩀺	罒貝隹
𩀽	襾早隹
𩀽	覀早隹
𩁃	而而隹
𩁋	虍豕隹
𩁹	雨一𬺰
𩁾	雨𠄎乀
𩂂	雨勹𰀪
𩂃	雨ユ人
𩂄	雨七凵
𩂉	雨一大
𩂎	雨八乂
𩂏	雨十又
𩂑	雨几二
𩂒	雨厂巳
𩂓	雨夊⺀
𩂗	雨屮凵
𩂙	雨人夕
𩂛	雨亻寸
𩂝	雨口乂
𩂠	雨亻弋
𩂣	雨夊口
𩂥	雨囗大
𩂦	雨䒑廾
𩂨	雨冊一
𩂩	雨口口
𩂪	雨八⺼
𩂪	雨八月
𩂫	雨夊夊
𩂬	雨电一
𩂭	雨夕夕
𩂯	雨亻木
𩂰	雨女口
𩂱	雨亠𧘇
𩂳	雨一业
𩂴	雨木冂
𩂵	雨尸巳
𩂹	雨彳殳
𩂺	雨木口
𩂻	雨耳乚
𩂽	雨王廾
𩂾	雨田丂
𩃂	雨扌夊
𩃄	雨尤彡
𩃎	雨氵方
𩃏	雨彐火
𩃑	雨扌片
𩃓	雨臼乚
𩃓	雨𦥑乚
𩃕	雨爿木
𩃗	雨大电
𩃙	雨田大
𩃜	雨氵立
𩃝	雨木夊
𩃞	雨戶戶
𩃞	雨户户
𩃟	雨日斤
𩃡	雨臼丨
𩃡	雨𦥑丨
𩃩	雨罒女
𩃪	雨人虫
𩃯	雨水灬
𩃳	雨𡗗𰀁
𩃹	雨千臼
𩃹	雨干臼
𩄁	雨兀虫
𩄄	雨𡗗日
𩄅	雨日皿
𩄆	雨日生
𩄇	雨罒王
𩄊	雨言十
𩄋	雨氵而
𩄌	雨尸至
𩄍	雨禾火
𩄎	雨𠃜目
𩄒	雨立日
𩄓	雨世木
𩄕	雨日正
𩄖	雨彑𧰨
𩄛	雨阝車
𩄝	雨⺶工
𩄞	雨禾禾
𩄣	雨田田
𩄤	雨羊月
𩄧	雨米夊
𩄫	雨缶辶
𩄮	雨艮辶
𩄱	雨立电
𩄲	雨米辶
𩄳	雨立立
𩄶	雨米欠
𩄼	雨氵非
𩄾	雨龶貝
𩅈	雨立早
𩅌	雨尚大
𩅒	雨𦥑文
𩅓	雨身夊
𩅚	雨土隹
𩅰	雨其斤
𩅺	雨彡頁
𩅽	雨曲辰
𩆯	雨氵僉
𩆳	雨衤鳥
𩆵	雨魚羊
𩇕	龶月彡
𩇛	生龶月
𩇰	亠非人
𩇱	非一巾
𩇲	非一兀
𩇳	一尢非
𩇴	非八刀
𩇶	木一非
𩇸	非⺧口
𩇹	非木口
𩇺	夭口非
𩇼	非大田
𩈄	面刀丶
𩈉	面冖儿
𩈌	面冖几
𩈍	面日一
𩈎	面工丂
𩈏	面幺力
𩈑	面尸又
𩈓	面不一
𩈔	面丁口
𩈗	面丶水
𩈚	面䒑廾
𩈝	面𠃜又
𩈟	面彐彐
𩈪	面爿士
𩈫	面大示
𩈭	面宀且
𩈯	面大电
𩈴	面立日
𩈶	面木示
𩈸	面自犬
𩈻	車斤面
𩉆	面女面
𩉈	面隹火
𩉌	面麻幺
𩉑	面麻手
𩉖	面面面
𩉚	面麻非
𩉝	革九丶
𩉞	革一丂
𩉟	革⺊乙
𩉠	革丶乂
𩉤	革乂乂
𩉥	革彐丿
𩉦	革𠂇厶
𩉨	革十又
𩉫	革匕匕
𩉭	革八厶
𩉯	革一兀
𩉰	革一巾
𩉱	革一彑
𩉲	革⺊又
𩉳	革𠂉几
𩉴	革厂㔾
𩉵	革八刀
𩉷	革幺㇆
𩉸	革匚コ
𩉹	革尸匕
𩉺	革宀匕
𩉻	革𠂉也
𩉿	革勹口
𩊁	革夕㔾
𩊃	革夕卜
𩊆	革丁口
𩊇	革王丶
𩊋	革⺈巳
𩊍	革丶水
𩊎	革弓卩
𩊏	革力口
𩊒	革电丿
𩊖	革䒑廾
𩊘	革丆日
𩊙	革亻犬
𩊚	革夊口
𩊜	革几木
𩊝	革匕日
𩊟	革巾巾
𩊠	革⺌兀
𩊣	革牛八
𩊥	革夕夕
𩊦	革宀寸
𩊧	革尸巾
𩊩	革夊丰
𩊯	革木口
𩊱	革𠂉母
𩊴	革士心
𩊵	革大日
𩊶	革止𣥂
𩊷	革目匕
𩊸	革罒几
𩊺	革⺈用
𩊾	革マ用
𩊿	革龷日
𩋀	革止龰
𩋃	革勹缶
𩋄	革耳又
𩋆	臣又革
𩋊	革大电
𩋋	革戈戈
𩋐	革艹殳
𩋒	革月月
𩋓	革丑丑
𩋗	革日木
𩋜	革尸古
𩋝	革巛田
𩋡	革宀至
𩋤	革田⺼
𩋤	革田月
𩋩	革至夊
𩋰	革糹寸
𩋱	革人車
𩋵	革耂日
𩋶	革木卯
𩋼	革⺷大
𩋿	革𠃜目
𩌀	革皮日
𩌁	革彑𧰨
𩌆	革⺌貝
𩌆	革小貝
𩌉	革𡗗水
𩌌	革工貝
𩌏	革甫寸
𩌐	革罒水
𩌒	革合⺼
𩌘	革𡗗禾
𩌝	革𠂤辶
𩌞	革合日
𩌢	革⺶工
𩌣	革⺷火
𩌤	革皮古
𩌩	革山隹
𩌪	革龶貝
𩌬	革立早
𩌯	革覀瓦
𩌸	革覀用
𩌹	革田糸
𩌺	田糸革
𩌼	革合田
𩍃	革罒貝
𩍄	革而而
𩍅	革立里
𩍈	革⺮合
𩍢	革雨田
𩍥	革雨而
𩍮	革⺮其
𩍶	革鹿灬
𩐙	立日斤
𩐛	立日瓦
𩐢	向立日
𩐥	立日合
𩐳	立日頁
𩑍	頁乚乚
𩑐	又丶頁
𩑑	丿厶頁
𩑒	丿七頁
𩑓	⺄十頁
𩑓	乛十頁
𩑔	𠂉乙頁
𩑕	一丂頁
𩑕	二㇉頁
𩑖	九丶頁
𩑛	乂乂頁
𩑜	冖几頁
𩑞	冂二頁
𩑠	乛止頁
𩑤	𠂉十頁
𩑦	勹又頁
𩑨	上乙頁
𩑪	卄一頁
𩑫	㇆𰀁頁
𩑬	匚儿頁
𩑭	亻匕頁
𩑮	勹𰀪頁
𩑯	⺀十頁
𩑰	日一頁
𩑲	𠂇口頁
𩑳	干丷頁
𩑴	幺力頁
𩑸	丁口頁
𩑹	亠幺頁
𩑺	冂土頁
𩑼	匚口頁
𩑽	止匕頁
𩒀	人小頁
𩒁	口匕頁
𩒂	宀匕頁
𩒅	木一頁
𩒆	丁巛頁
𩒇	口儿頁
𩒈	頁人小
𩒉	人彡頁
𩒊	丶王頁
𩒋	䒑丩頁
𩒍	又工頁
𩒎	厶口頁
𩒏	𠂇火頁
𩒑	匚王頁
𩒒	⺁巴頁
𩒓	龷八頁
𩒔	彐山頁
𩒕	䒑屮頁
𩒖	一廾頁
𩒖	干干頁
𩒙	⺧儿頁
𩒚	⺌兀頁
𩒛	上小頁
𩒜	乃木頁
𩒝	日匕頁
𩒞	工止頁
𩒞	正一頁
𩒟	爫九頁
𩒤	王八頁
𩒧	彡巾頁
𩒨	匕日頁
𩒩	广夕頁
𩒪	火十頁
𩒫	尸口頁
𩒱	囗木頁
𩒳	日巛頁
𩒴	工水頁
𩒵	匕田頁
𩒼	マ用頁
𩒿	尤彡頁
𩓁	土方頁
𩓁	龶勹頁
𩓃	⺁古頁
𩓄	彡不頁
𩓅	⺈用頁
𩓇	丿糸頁
𩓈	山火頁
𩓉	文廾頁
𩓊	土水頁
𩓋	一米頁
𩓌	日大頁
𩓎	厶矢頁
𩓏	一由頁
𩓑	丆目頁
𩓓	目匕頁
𩓖	爫子頁
𩓙	匕矢頁
𩓚	爫廾頁
𩓜	艹亡頁
𩓟	⺈臼頁
𩓢	日木頁
𩓣	彡立頁
𩓧	宀且頁
𩓨	龶月頁
𩓪	彐水頁
𩓪	彑水頁
𩓮	火木頁
𩓰	爫木頁
𩓱	人舌頁
𩓳	龶𧘇頁
𩓵	山禾頁
𩓶	口立頁
𩓹	大电頁
𩓺	日火頁
𩓻	山甲頁
𩓼	山用頁
𩓽	囗禾頁
𩔀	䒑𧰨頁
𩔂	彑𧰨頁
𩔇	白王頁
𩔍	立⺼頁
𩔎	艹世頁
𩔏	日禾頁
𩔐	日立頁
𩔑	世木頁
𩔓	千臼頁
𩔓	干臼頁
𩔕	丷酉頁
𩔖	米大頁
𩔗	米女頁
𩔟	厂金頁
𩔠	目未頁
𩔢	米辶頁
𩔥	龶糸頁
𩔦	𠂤辶頁
𩔧	宀豕頁
𩔨	自心頁
𩔬	米文頁
𩔲	卯田頁
𩔳	龶貝頁
𩔺	虍由頁
𩕁	辰⺼頁
𩕁	辰月頁
𩕃	田糸頁
𩕅	广金頁
𩕆	立早頁
𩕈	火足頁
𩕉	立里頁
𩕎	舟足頁
𩕛	糹糹頁
𩕥	穴隹頁
𩕷	虍隹頁
𩕺	辛豕頁
𩕿	匚僉頁
𩖄	厂僉頁
𩖆	广僉頁
𩖏	頁頁頁
𩖔	頁鳥鳥
𩖕	彡立页
𩖖	火火页
𩖚	風勹丶
𩖛	風几丶
𩖜	風⺄十
𩖜	風乛十
𩖝	風勹丿
𩖢	風𠂇厶
𩖤	風七凵
𩖥	風小丿
𩖨	風勹𰀪
𩖩	風冂又
𩖪	風乃乀
𩖭	風一巾
𩖯	風冂人
𩖶	風木丶
𩖷	風屮凵
𩖸	風口丂
𩖹	風尸匕
𩖺	風卄二
𩖻	風丶水
𩖾	風尸二
𩖿	夕㔾風
𩗁	風亠幺
𩗄	風龷八
𩗆	風亻木
𩗈	風夕夕
𩗉	風乂木
𩗊	風士口
𩗌	風文刂
𩗍	風习习
𩗎	風弋工
𩗑	風尸工
𩗔	爫女風
𩗖	風丶艮
𩗘	風尸毛
𩗙	風扌斤
𩗝	風丿虫
𩗞	風丿米
𩗡	風丰寸
𩗢	風工水
𩗣	風木口
𩗤	風日干
𩗥	風口巴
𩗧	阝方風
𩗨	風矢口
𩗭	風戶犬
𩗭	風户犬
𩗮	風巛田
𩗯	禾女風
𩗱	風木斤
𩗴	風𡗗𰀁
𩗷	風大电
𩗸	風虍十
𩗹	火火風
𩗼	風龶月
𩘀	風⺊早
𩘄	風木夊
𩘇	風勹言
𩘌	風禾火
𩘏	風世木
𩘐	風彑𧰨
𩘔	西土風
𩘔	覀土風
𩘘	風白水
𩘞	風气米
𩘟	風覀木
𩘢	風𡗗禾
𩘣	風龶糸
𩘦	風臼方
𩘧	風身寸
𩘩	風艮辶
𩘬	風艮辶
𩘭	風⺶丑
𩘽	尚木風
𩙀	覀早風
𩙆	風尚木
𩙒	鹿灬風
𩙦	几乂白
𩙮	几乂高
𩙴	方𠂉飛
𩙵	冖車飛
𩙻	飛非心
𩙾	鳥鳥飛
𩚈	食勹丶
𩚊	食丿七
𩚋	食⺊乙
𩚐	食九丶
𩚑	食几丶
𩚒	食刀丶
𩚗	食冖几
𩚘	食勹厶
𩚙	食小丿
𩚚	食厂㔾
𩚛	食冂人
𩚛	食冂入
𩚝	食人力
𩚞	食一幺
𩚟	食ユ人
𩚡	食十又
𩚢	食一彑
𩚦	食七刀
𩚨	食斤一
𩚬	食戶乙
𩚬	食户乙
𩚭	食亻寸
𩚮	食丿之
𩚯	食尸匕
𩚰	食十廾
𩚱	食冂口
𩚳	食厶廾
𩚴	夕㔾食
𩚵	食卄二
𩚶	食口儿
𩚸	食𠂉小
𩚺	食几彡
𩚻	止九食
𩚼	食不一
𩚽	食王丶
𩚾	丬匕食
𩚿	食千又
𩛂	食女又
𩛅	食人女
𩛆	食𠂉也
𩛈	⺊夕食
𩛋	食巛山
𩛌	食大女
𩛎	食山口
𩛏	食士女
𩛐	食尸工
𩛓	食卩辶
𩛔	食⺧儿
𩛗	女巳食
𩛘	食龷八
𩛙	食乂方
𩛚	亠𧘇食
𩛛	食龷八
𩛜	食文寸
𩛝	食爫寸
𩛞	食爫子
𩛡	食丶艮
𩛣	食士心
𩛤	食マ用
𩛦	食口壬
𩛦	食口王
𩛧	食日干
𩛨	食白儿
𩛫	食厂矢
𩛱	食⺌⺼
𩛱	食⺌月
𩛲	食艹亡
𩛴	食口木
𩛵	食禾力
𩛶	食⺁古
𩛷	食不口
𩛸	食𠂉母
𩛹	食气土
𩛺	食勹米
𩛻	尸水食
𩛼	食彐水
𩛼	食彑水
𩛽	食勹缶
𩜅	食龷日
𩜈	食艹夭
𩜉	食人舌
𩜊	食巛田
𩜍	食木日
𩜎	食龶月
𩜐	食气心
𩜓	食爫木
𩜔	彳皮食
𩜗	食夊田
𩜛	食立阝
𩜜	食土𢆉
𩜠	食山石
𩜢	方夊食
𩜣	食羊八
𩜤	食氵皮
𩜥	氵皮食
𩜪	食大示
𩜫	食木夊
𩜬	臣又食
𩜮	食𦣞巳
𩜱	食其乚
𩜵	食山而
𩜸	示夭食
𩜺	食勹言
𩜼	食耂日
𩝅	食⺷女
𩝋	食禾火
𩝌	食䒑𧰨
𩝏	食⺷大
𩝒	食宀缶
𩝓	宀缶食
𩝟	食千臼
𩝟	食干臼
𩝠	食自犬
𩝥	食龶糸
𩝪	食宀辛
𩝭	食⺶工
𩝮	食𦣞已
𩞂	口虎食
𩞅	食山隹
𩞈	食豕辶
𩞎	革二食
𩞏	食車斤
𩞖	食⺷皿
𩞗	食日貝
𩞙	食車辶
𩞥	食尚夊
𩞦	食尚手
𩞪	食而而
𩞰	食⺮合
𩞸	食覀米
𩟂	食咼辶
𩟈	食尚田
𩟊	食曲辰
𩟚	壴皮食
𩟠	食麻幺
𩟯	食雨隹
𩟵	食⺮馬
𩟿	饣冂人
𩠁	饣卄二
𩠂	饣𠂉也
𩠃	饣夫丷
𩠄	饣一米
𩠅	饣大辶
𩠊	饣山而
𩠏	饣尚手
𩠐	巛丆目
𩠑	丁䒑自
𩠔	䒑自毛
𩠗	皮䒑自
𩠚	䒑自亥
𩠛	䒑自𦣝
𩠛	䒑自𦣞
𩠤	䒑自甫
𩠺	禾日一
𩠼	禾木日
𩠽	禾日木
𩠾	疒禾日
𩠿	禾日末
𩡃	禾日申
𩡄	禾日禾
𩡅	禾日米
𩡰	馬⺄十
𩡰	馬乛十
𩡲	馬刀丶
𩡵	⺄十馬
𩡵	乛十馬
𩡸	馬一巾
𩡼	馬丶下
𩡾	馬小丿
𩢀	馬七凵
𩢁	䒑丿馬
𩢂	又又馬
𩢃	馬又又
𩢄	馬一兀
𩢇	馬亻又
𩢈	馬匕十
𩢊	馬力力
𩢎	馬屮凵
𩢏	馬冂廾
𩢑	止匕馬
𩢒	馬幺力
𩢔	馬丷𰀁
𩢕	馬木一
𩢗	工卩馬
𩢘	馬匚口
𩢙	大丷馬
𩢚	馬千又
𩢜	馬人小
𩢞	馬工卩
𩢟	馬力口
𩢠	厶口馬
𩢡	馬冂土
𩢢	馬口八
𩢤	馬王丶
𩢥	冂大馬
𩢦	馬夊⺀
𩢧	馬土厶
𩢨	馬卄二
𩢩	馬卝一
𩢬	馬⺊尸
𩢭	馬止匕
𩢮	亻木馬
𩢰	馬亻犬
𩢱	馬囗口
𩢳	习习馬
𩢴	馬士口
𩢶	馬日乂
𩢷	馬丆日
𩢺	馬厶⺼
𩢺	馬厶月
𩢻	牛八馬
𩢼	馬匚王
𩣂	⺧儿馬
𩣃	馬巛山
𩣇	馬亡𫶧
𩣉	女口馬
𩣊	馬戊一
𩣋	馬𠂇月
𩣌	馬丱一
𩣎	匕夫馬
𩣏	夕ヰ馬
𩣐	亡𫶧馬
𩣑	馬宀女
𩣕	馬匚斤
𩣖	馬文口
𩣘	馬耳乚
𩣙	馬千日
𩣚	馬不口
𩣝	馬止𣥂
𩣧	馬爫女
𩣩	馬扌斤
𩣫	馬禾刂
𩣯	馬水日
𩣳	馬木日
𩣶	日月馬
𩣸	馬𠂤十
𩣻	艹夭馬
𩣼	馬穴工
𩣽	馬勹米
𩣿	馬丑丑
𩤀	馬䒑业
𩤁	馬囗禾
𩤂	馬⺈臼
𩤅	馬尸古
𩤆	木木馬
𩤈	馬龷日
𩤊	馬戈戈
𩤋	馬止木
𩤑	馬立𰀁
𩤒	馬宀且
𩤔	馬大电
𩤕	馬龶𧘇
𩤗	馬癶毛
𩤚	馬山而
𩤜	馬耂日
𩤭	馬戈甲
𩤱	馬艹由
𩤵	馬日生
𩤶	馬日卯
𩤸	馬田⺼
𩤸	馬田月
𩤹	馬禾日
𩤺	臼人馬
𩤽	馬⺁虎
𩤾	馬虍文
𩥀	馬气米
𩥅	馬爫臼
𩥈	馬日皿
𩥍	馬羊牛
𩥏	馬耂至
𩥓	爫臼馬
𩥖	卯田馬
𩥙	馬⺶工
𩥚	馬𡗗禾
𩥠	馬艹合
𩥣	馬爫缶
𩥣	馬𱼀缶
𩥤	馬亠隹
𩥧	馬自王
𩥫	馬𡗗臼
𩥰	馬非大
𩦂	馬門月
𩦃	馬門木
𩦇	馬壴口
𩦍	立里馬
𩦎	馬非文
𩦘	馬龷隹
𩧏	馬雨隹
𩧒	馬禾鳥
𩧢	馬馬馬
𩧩	马一戈
𩧪	马尤丿
𩧫	马冂大
𩧬	马冂土
𩧭	马丿夫
𩧰	马冖车
𩧱	马山己
𩧴	马人王
𩧴	马入王
𩧵	马士口
𩧶	夕ヰ马
𩧷	宀牛马
𩧸	禾刂马
𩧽	马囗古
𩧾	马西土
𩧾	马覀土
𩨁	马𡗗日
𩨅	马田⺼
𩨅	马田月
𩨇	马米女
𩨖	骨⺄十
𩨖	骨乛十
𩨗	骨一丂
𩨗	骨二㇉
𩨘	骨𠂉乙
𩨛	骨丿七
𩨝	骨十又
𩨞	骨乃乀
𩨟	骨乂乂
𩨡	骨小丿
𩨤	骨一幺
𩨥	骨冖儿
𩨦	骨八丂
𩨨	骨匕匕
𩨩	骨⺁又
𩨩	骨厂又
𩨪	骨八勹
𩨫	骨彐丿
𩨬	骨亠幺
𩨭	骨宀匕
𩨮	山厂骨
𩨯	骨斤丶
𩨰	骨丿夫
𩨱	止匕骨
𩨲	骨心丿
𩨳	屮凵骨
𩨴	骨口丂
𩨵	骨口八
𩨷	骨山匕
𩨸	骨屮凵
𩨻	骨丶王
𩨼	骨斤一
𩨿	骨𠂇火
𩩀	骨巛山
𩩃	骨大干
𩩄	骨一廾
𩩆	骨山𰀄
𩩉	骨耂子
𩩌	骨丿糸
𩩍	骨由丂
𩩐	骨口⺼
𩩐	骨口月
𩩓	骨⺌⺼
𩩓	骨⺌月
𩩕	骨白儿
𩩖	骨王廾
𩩗	骨人舌
𩩚	骨田丌
𩩝	骨穴工
𩩢	骨臼儿
𩩧	骨火火
𩩨	骨皮川
𩩩	骨龶𧘇
𩩪	日日骨
𩩫	骨日日
𩩯	骨戶冊
𩩯	骨户冊
𩩳	骨千里
𩩺	骨白水
𩩿	骨立日
𩪀	骨𠂤辶
𩪇	骨巛貝
𩪈	骨⺌貝
𩪈	骨小貝
𩪊	骨覀示
𩪓	骨山隹
𩪘	骨立里
𩪮	骨麻幺
𩪰	骨雨而
𩪱	骨千黑
𩪿	高九丶
𩫂	高子乚
𩫄	高⺀十
𩫆	高丿廾
𩫉	刀刀高
𩫊	高八土
𩫌	高冂口
𩫐	䒑廾高
𩫑	高䒑廾
𩫒	高丆巾
𩫘	高口⺼
𩫘	高口月
𩫜	高田廾
𩫞	高彑𧰨
𩫢	高工貝
𩫣	高口貝
𩫼	髟几丶
𩫾	髟丷丨
𩫿	髟一巾
𩬀	髟冂人
𩬀	髟冂入
𩬂	镸彡龰
𩬃	髟乂乂
