×	乂
𥒬	石宀木
𥒮	石尸毛
𥒯	木石土
𥒲	石厶矢
𥒵	石口巴
𥒶	石丿糸
𥒷	石丰阝
𥒺	石士心
𥒼	石止𣥂
𥓀	石目匕
𥓃	石夊朩
𥓆	石又石
𥓇	夕止石
𥓉	石戊乙
𥓊	木斤石
𥓋	石臼儿
𥓌	石⺶乚
𥓎	石户犬
𥓒	石⺈臼
𥓔	石禾女
𥓕	石爫壬
𥓖	石日木
𥓙	木木石
𥓝	石木日
𥓢	石止龰
𥓥	石日日
𥓧	牛牛石
𥓩	石土石
𥓫	石至刂
𥓬	至刂石
𥓭	石𠂤十
𥓮	石勹缶
𥓰	石穴弓
𥓱	石巛正
𥓲	石巛田
𥓳	石彳皮
𥓴	石方夊
𥓶	石夊田
𥓸	石衤彡
𥓾	石千臼
𥔀	石勹言
𥔄	石臼土
𥔈	石厂辛
𥔊	石已至
𥔋	石日皿
𥔍	石禾火
𥔏	龶田石
𥔓	石古月
𥔔	石尸米
𥔕	石石灬
𥔖	石西女
𥔗	石山而
𥔚	石人車
𥔜	石禾日
𥔟	石白木
𥔡	石禾日
𥔢	石臼人
𥔣	石⺷女
𥔦	石不皿
𥔧	石千里
𥔨	石水石
𥔩	石欠石
𥔫	石未艹
𥔭	石⺌貝
𥔮	石虍文
𥔴	石生石
𥔻	礻申石
𥔽	石艹合
𥔿	石爫臼
𥕁	石文耳
𥕄	石土里
𥕅	石穴且
𥕆	石禾禾
𥕌	石車斤
𥕎	石广隶
𥕑	石虍且
𥕔	石欠言
𥕛	石其土
𥕝	石米石
𥕞	石立早
𥕟	石尸雨
𥕡	石耳卯
𥕤	石⺷皿
𥕰	石虍业
𥕱	石壴彡
𥕶	石其斤
𥕷	石而而
𥕽	壴彡石
𥖊	石口面
𥖗	壴殳石
𥖞	豸艮石
𥖣	石艹禺
𥖤	石咼辶
𥖧	石匕鳥
𥖫	壴皮石
𥖰	石艹高
𥖸	木鬼石
𥗂	石麻手
𥗆	石魚日
𥗖	石⺮馬
𥘍	礻乚乚
𥘓	礻又丶
𥘔	礻𬺰丿
𥘕	礻一丌
𥘘	礻⺆亠
𥘜	礻乃乀
𥘝	礻冂乂
𥘟	礻二厶
𥘠	礻卄一
𥘡	礻一彑
𥘢	礻一幺
𥘤	礻小丿
𥘥	礻丿廾
𥘧	礻九十
𥘨	礻勹𰀪
𥘩	礻勹冫
𥘪	礻𠂉十
𥘫	礻丁口
𥘭	礻丶王
𥘮	礻勹口
𥘰	礻尸コ
𥘲	丅儿且
𥘴	礻干丷
𥘵	礻日一
𥘹	礻匚コ
𥘻	礻不一
𥘼	礻人彡
𥘽	示丷𰀁
𥘾	大丷示
𥙀	礻ナ工
𥙁	礻𠂉也
𥙂	礻斤一
𥙄	礻人小
𥙅	礻亠巾
𥙆	礻亠幺
𥙇	礻宀匕
𥙈	礻巳又
𥙉	礻厶口
𥙋	礻屮凵
𥙍	丅儿申
𥙑	礻⺌兀
𥙓	礻乚用
𥙔	礻宀女
𥙕	礻耂匕
𥙖	礻龷八
𥙗	礻大口
𥙙	礻口巾
𥙚	礻𠂉斤
𥙛	礻亻壬
𥙜	礻亻尤
𥙝	示⺧儿
𥙞	礻土土
𥙣	礻勹日
𥙥	礻コ彑
𥙦	女口示
𥙨	礻几木
𥙬	礻⺌月
𥙭	礻木土
𥙯	礻乃古
𥙰	礻气土
𥙲	礻水土
𥙳	丅儿甫
𥙶	礻艹干
𥙺	礻止𣥂
𥙾	礻禾乃
𥚀	礻爫子
𥚁	礻乃古
𥚅	礻乚耳
𥚇	礻乚舌
𥚈	礻田丌
𥚉	礻巛田
𥚎	礻宀示
𥚑	礻尸古
𥚕	礻日日
𥚖	礻爫木
𥚞	礻臼丨
𥚟	礻𰃦古
𥚡	火火示
𥚫	礻合廾
𥚮	礻其乚
𥚱	礻立日
𥚵	礻𠃜目
𥚶	礻口耳
𥚷	礻田月
𥚹	礻户冊
𥚻	礻山而
𥛅	礻卯田
𥛌	礻工貝
𥛍	礻口貝
𥛏	礻𠂉其
𥛑	礻辰寸
𥛖	示身寸
𥛗	礻爫臼
𥛜	礻虍且
𥛟	礻爫見
𥛦	礻西示
𥛧	礻田糸
𥛱	壴彡示
𥛲	礻隹灬
𥛳	礻虍业
𥛻	礻壴彡
𥜅	礻虍豕
𥜍	礻艹禺
𥜗	礻雨而
𥜛	米示頁
𥜻	丿冂厶
𥝂	禺厂㔾
𥝖	禾𠂉乙
𥝜	禾一丂
𥝠	禾丿厶
𥝡	禾乙十
𥝢	禾勹丿
𥝤	禾勹𰀪
𥝥	禾乃乀
𥝨	禾人⺀
𥝪	禾匚儿
𥝭	禾ユ人
𥝮	禾一幺
𥝯	禾一廾
𥝲	禾厶儿
𥝳	禾⺆亠
𥝴	禾冖儿
𥝶	禾八厶
𥝺	禾人十
𥝼	禾弓丨
𥝿	禾力口
𥞀	禾𠂉也
𥞂	禾亻寸
𥞃	禾屮凵
𥞅	禾止匕
𥞇	禾九山
𥞈	禾卄二
𥞋	禾土厶
𥞌	禾卄二
𥞍	禾丁口
𥞎	禾ナ巾
𥞏	禾口儿
𥞐	禾尸コ
𥞑	禾亠巾
𥞒	禾宀匕
𥞓	禾尸二
𥞔	禾巳七
𥞕	禾屮八
𥞗	禾大冂
𥞚	禾女口
𥞛	禾几木
𥞜	禾夊㐄
𥞞	禾亠日
𥞟	禾氵亍
𥞠	禾耂匕
𥞡	禾口巾
𥞢	禾夕㐄
𥞣	工口禾
𥞦	禾夫丷
𥞧	禾彳亍
𥞩	禾䒑廾
𥞬	禾宀女
𥞭	禾尸工
𥞰	禾彐𰀁
𥞱	工阝禾
𥞴	禾⺧口
𥞶	禾不口
𥞷	禾田儿
𥞼	禾夊月
𥞾	禾彐水
𥟀	禾龶夊
𥟂	禾一米
𥟄	禾田乃
𥟈	禾木口
𥟉	禾禾几
𥟕	禾艹欠
𥟗	禾由丌
𥟡	禾宀示
𥟢	禾火火
𥟣	禾立女
𥟥	禾戈戈
𥟩	禾爫木
𥟪	禾艹毛
𥟬	禾小用
𥟱	禾禾彐
𥟷	禾丑丑
𥟺	禾几而
𥟼	禾艹不
𥟽	禾尸至
𥟾	禾艹古
𥠀	禾日生
𥠂	禾䒑𧰨
𥠄	禾山而
𥠉	禾貝刂
𥠋	禾口耳
𥠍	禾不生
𥠏	禾艹戊
𥠓	禾世木
𥠔	禾𡗗日
𥠘	禾白水
𥠙	禾艹且
𥠝	禾日矢
𥠟	白王禾
𥠦	禾⺷大
𥠧	禾尸羊
𥠭	千里禾
𥠱	禾⺁虎
𥠲	禾西木
𥠵	禾甫寸
𥠶	禾匚非
𥠷	禾卯田
𥠺	禾日皿
𥠼	𡗗禾禾
𥠽	禾至夊
𥡈	禾𠂤辶
𥡏	禾田目
𥡐	禾自方
𥡒	禾文耳
𥡕	禾門人
𥡜	禾田糸
𥡟	禾𡗗臼
𥡣	禾革二
𥡤	禾酉灬
𥡧	禾虍且
𥡨	禾甫方
𥡫	禾穴至
𥡯	龶貝禾
𥡱	禾酉灬
𥢍	禾古辛
𥢏	禾西早
𥢓	禾夊風
𥢕	禾西米
𥢗	禾壴口
𥢙	士禾頁
𥢠	禾而而
𥢷	禾尚田
𥤗	禾尚黑
𥤢	丿冂儿
𥤭	穴丿七
𥤯	穴⺈乀
𥤳	穴乚人
𥤴	穴一廾
𥤷	穴冖儿
𥤸	穴一兀
𥤹	穴乂乂
𥤻	穴匕匕
𥤽	穴勹𰀪
𥤾	子乚穴
𥤿	穴九十
𥥀	穴亠八
𥥄	穴八刀
𥥅	穴子乚
𥥆	穴幺乙
𥥇	穴木丶
𥥈	穴弓厶
𥥌	穴丿夫
𥥍	穴大丷
𥥎	穴口刂
𥥑	穴木一
𥥕	穴尸匕
𥥙	穴工力
𥥜	穴千又
𥥞	穴𫝀又
𥥡	穴龷八
𥥤	穴夕㐄
𥥦	穴又火
𥥧	穴耂匕
𥥨	穴彐彐
𥥬	穴刀心
𥥭	穴土口
𥥰	穴戊丶
𥥴	穴亠𧘇
𥥶	穴壬廴
𥥼	穴冊十
𥥾	穴口月
𥥿	穴夕火
𥦁	穴マ用
𥦃	穴尸木
𥦄	穴己夊
𥦅	穴丑阝
𥦆	穴扌殳
𥦈	穴木口
𥦉	穴禾刂
𥦌	穴王廾
𥦍	穴日廾
𥦏	穴日大
𥦒	穴白匕
𥦓	穴丿米
𥦔	穴土欠
𥦕	穴田八
𥦗	穴口心
𥦘	穴爫子
𥦜	穴月月
𥦝	穴木木
𥦞	穴臣又
𥦡	穴耳又
𥦢	穴牙阝
𥦣	穴臼乚
𥦤	穴扌未
𥦧	穴舟刂
𥦩	穴大电
𥦫	穴口瓜
𥦭	穴土𢆉
𥦰	穴夕正
𥦵	穴月夊
𥦶	⺈臼穴
𥦼	穴石木
𥧄	穴日电
𥧅	穴匕貝
𥧊	穴尸至
𥧌	穴爿未
𥧎	穴禾日
𥧏	穴耂日
𥧔	穴气米
𥧙	穴未未
𥧡	穴工貝
𥧢	穴耳毛
𥧥	穴卯田
𥧨	穴尸貝
𥧹	穴爫臼
𥧼	穴忄禺
𥨂	穴身夊
𥨃	穴身殳
𥨇	穴貝夊
𥨉	穴爿言
𥨎	穴西早
𥨖	穴矢見
𥨙	穴氵咼
𥨚	穴身卯
𥨳	穴耳革
𥨵	穴身咼
𥩏	穴隹鳥
𥩘	立勹丶
𥩞	立勹厶
𥩟	立宀一
𥩡	立戈乚
𥩣	立丶王
𥩤	立丁口
𥩥	立尸匕
𥩦	立亻弋
𥩧	立丿予
𥩨	立王丶
𥩩	立卄二
𥩬	立日亅
𥩮	立勹口
𥩯	立乃子
𥩰	立匚コ
𥩱	立亻戈
𥩳	立土寸
𥩵	立䒑廾
𥩶	立口口
𥩸	立土寸
𥩹	立丿皿
𥩺	立夫丷
𥩽	立宀寸
𥩿	亡月立
𥪁	立由丂
𥪅	立口欠
𥪋	立彐水
𥪍	立禾女
𥪏	立耳又
𥪒	立尸冊
𥪕	立禾彐
𥪖	立臼乚
𥪗	立宀示
𥪘	立其乚
𥪛	正夊立
𥪠	立冖車
𥪢	立里八
𥪤	立耂日
𥪨	臣斤立
𥪩	立口貝
𥪭	車斤立
𥪮	立立早
𥫡	⺮一丂
𥫢	⺮又丶
𥫣	⺮丂一
𥫥	⺮二乚
𥫩	⺮勹丶
𥫬	⺮丿七
𥫯	⺮口丨
𥫰	⺮亠八
𥫱	⺮七凵
𥫲	⺮ナ十
𥫴	⺮亠巾
𥫵	⺮大丶
𥫶	⺮一丌
𥫷	⺮勹九
𥫹	⺮冖儿
𥫺	⺮冖几
𥫼	⺮⺆亠
𥬀	⺮二厶
𥬁	⺮彐亅
𥬂	⺮一川
𥬃	⺮小丿
𥬈	⺮人人
𥬉	⺮勹厶
𥬋	⺮八丂
𥬌	⺮宀匕
𥬍	⺮亻山
𥬑	⺮工几
𥬓	⺮幺力
𥬔	⺮土厶
𥬕	⺮冂土
𥬖	⺮尸又
𥬗	⺮匚儿
𥬘	⺮丿夫
𥬙	⺮匚コ
𥬚	⺮𠂉上
𥬛	⺮丿止
𥬜	⺮勹匕
𥬞	⺮⺈小
𥬠	⺮⺈彐
𥬡	⺮ナ口
𥬢	⺮ナ工
𥬣	⺮工刀
𥬤	⺮工丂
𥬧	⺮人上
𥬨	⺮斤一
𥬩	⺮尸匕
𥬪	⺮戈ナ
𥬫	⺮夕㐄
𥬬	⺮彐巾
𥬮	⺮氵工
𥬯	⺮耂丂
𥬰	⺮冊一
𥬲	⺮几木
𥬳	⺮止匕
𥬶	⺮王几
𥬷	⺮上下
𥬸	⺮乃木
𥬹	⺮龷八
𥬽	⺮日乂
𥬾	⺮月几
𥬿	⺮勹上
𥭃	⺮土川
𥭄	⺮力斤
𥭅	⺮土口
𥭆	⺮日十
𥭇	⺮千彡
𥭋	⺮夕夕
𥭍	⺮小大
𥭎	⺮氵亡
𥭏	⺮厶牛
𥭐	⺮爫寸
𥭕	⺮牙阝
𥭗	⺮夊丰
𥭙	⺮耳乚
𥭚	⺮亡口
𥭜	⺮己心
𥭞	⺮口月
𥭡	⺮士心
𥭢	⺮由丂
𥭤	⺮口龶
𥭥	⺮丿虫
𥭦	⺮犭斤
𥭧	⺮日土
𥭨	⺮白儿
𥭪	⺮亻皮
𥭲	⺮宀牛
𥭳	⺮犭火
𥭶	⺮艹亡
𥭺	⺮士𠃜
𥭻	⺮耂口
𥭼	⺮彐水
𥮄	⺮月已
𥮅	⺮王大
𥮇	⺮丰阝
𥮊	⺮木土
𥮌	龷⺮干
𥮍	⺮爫壬
𥮎	⺮犬廾
𥮗	⺮勹米
𥮙	⺮舟刂
𥮛	⺮⺈臼
𥮡	⺮合卩
𥮢	⺮丑丑
𥮥	⺮木斤
𥮫	⺮冂米
𥮰	⺮弓瓜
𥮵	⺮宀示
𥮽	⺮勹缶
𥮿	⺮毛灬
𥯁	⺮彳生
𥯃	⺮大电
𥯉	⺮女石
𥯋	⺮日月
𥯌	⺮矢口
𥯍	⺮木夊
𥯑	⺮西土
𥯓	⺮其乚
𥯘	⺮耳阝
𥯝	⺮穴犬
𥯥	⺮千臼
𥯨	⺮田心
𥯩	⺮石斤
𥯬	⺮而大
𥯮	⺮臼人
𥯵	彑𧰨竹
𥯶	⺮艹古
𥯻	⺮木片
𥯾	⺮宀舌
𥰁	⺮方生
𥰂	⺮火禾
𥰃	⺮冖車
𥰇	⺮言十
𥰊	⺮合下
𥰎	⺮戈皿
𥰖	⺮人見
𥰗	⺮白巴
𥰝	⺮自心
𥰣	⺮卯田
𥰩	⺮⺽廾
𥰭	⺮⺶工
𥱇	⺮而火
𥱈	⺮身寸
𥱐	⺮口里
𥱕	⺮其厶
𥱙	⺮而夊
𥱛	⺮木西
𥱡	⺮罒戊
𥱧	⺮𡗗禾
𥱨	⺮龶糸
𥱫	⺮大镸
𥱬	⺮言己
𥱭	⺮亻長
𥱰	⺮彳走
𥱲	⺮虍文
𥱴	⺮扌甫
𥲁	⺮而瓦
𥲊	⺮耳卯
𥲜	⺮虍皿
𥲣	⺮貝斤
𥲤	⺮虍业
𥲥	⺮合皿
𥲨	⺮貝毛
𥲰	⺮立𧰨
𥲱	⺮氵隹
𥲲	⺮其彡
𥲺	⺮田早
𥳅	⺮言辶
𥳑	⺮門月
𥳗	⺮彡頁
𥳘	⺮立里
𥳟	⺮隹辶
𥳠	⺮虎辶
𥳶	⺮尚手
𥳽	⺮其欠
𥴅	⺮米西
𥴏	⺮金灬
𥴑	⺮酉生
𥴒	竹竹竹
𥴛	⺮木隹
𥴝	⺮食阝
𥴢	⺮禾隹
𥴧	⺮虍豕
𥴪	⺮禺辶
𥴯	⺮广鬼
𥵉	⺮雨田
𥵌	⺮人鳥
𥵛	⺮曲辰
𥵷	⺮豸里
𥵻	⺮糹隹
𥶇	⺮魚日
𥶔	⺮鹿灬
𥶯	鬼⺮由
𥶱	⺮白鬼
𥷜	⺮隹風
𥷡	⺮火僉
𥷦	⺮鹵早
𥸈	⺮尚黑
𥸛	⺮齒足
𥸞	⺮齒其
𥸫	丿几米
𥸯	米一勹
𥸱	米丿几
𥸳	米十又
𥸵	米七凵
𥸶	米一廾
𥸸	乚大米
𥸼	米勹乂
𥹂	米不一
𥹃	米亻寸
𥹅	米心丿
𥹆	米尸匕
𥹇	米厶廾
𥹈	米宀匕
𥹉	米囗又
𥹊	米囗儿
𥹋	米厶口
𥹌	力口米
𥹍	米宀丁
𥹐	⺊厂米
𥹒	米干丷
𥹓	米土厶
𥹗	米阝也
𥹙	米刀口
𥹛	九夊米
𥹞	米电丿
𥹠	米夕夕
𥹡	女口米
𥹣	米冊一
𥹤	米冊一
𥹥	米⺌彐
𥹧	米彐𰀁
𥹨	米弋工
𥹩	米土寸
𥹪	米夊㐄
𥹬	米耂丂
𥹮	米夕㐄
𥹯	米丰八
𥹱	米幺力
𥹴	米止𣥂
𥹵	米木口
𥹶	米⺌月
𥹹	尸毛米
𥹽	米爫寸
𥹾	米夊丰
𥹿	米火土
𥺃	米士心
𥺄	米耂子
𥺅	米丰寸
𥺆	米口王
𥺇	米米乚
𥺈	米扌斤
𥺊	米⺧口
𥺏	米口欠
𥺐	米口斤
𥺒	米由丂
𥺔	口欠米
𥺕	米扌巴
𥺖	米不口
𥺗	米襾一
𥺚	米木斤
𥺢	米夊田
𥺣	米丑丑
𥺥	米宀且
𥺨	米广古
𥺪	米文月
𥺫	米匚米
𥺬	米子皿
𥺮	米龷日
𥺰	米日木
𥺵	米殳月
𥺶	米尸矢
𥺸	米巴日
𥺺	米山立
𥺾	米止月
𥻁	米山而
𥻈	米世木
𥻏	米田心
𥻐	米尸米
𥻒	米夕米
𥻕	米火未
𥻖	米䒑𧰨
𥻙	米⺷大
𥻚	米立日
𥻛	米西土
𥻜	米田犬
𥻝	米千里
𥻟	米而大
𥻡	米𠃜目
𥻢	米口自
𥻬	米隹又
𥻮	米宀辛
𥻱	米口貝
𥼂	米山隹
𥼃	米龶貝
𥼄	米禾米
𥼏	米車牛
𥼑	米田米
𥼕	米⺮立
𥼚	米隹灬
𥼞	米非灬
𥼠	米非木
𥼤	米其斤
𥼬	米米米
𥼮	米糸米
𥼴	米門日
𥼺	米自辛
𥼽	米尚田
𥽁	米食欠
𥽑	米非米
𥽞	米黑土
𥽥	米雨隹
𥽨	米麻石
𥽪	米⺮馬
𥽯	米雨面
𥽰	米麻米
𥽻	米尚黑
𥾆	糹乚乚
𥾑	糹丿七
𥾒	糹二亅
𥾓	糹人丨
𥾔	糹冂丿
𥾚	糹冖几
𥾛	糹七刀
𥾜	乂凵糸
𥾞	糹刀刀
𥾟	一丌糸
𥾠	糹刀八
𥾡	糹勹冫
𥾢	糹冂二
𥾣	糹十又
𥾤	糹又又
𥾥	乂乂糸
𥾦	糹一丌
𥾧	糹一巾
𥾩	⺁又糸
𥾪	糹人⺀
𥾯	糹弓丨
𥾰	糹卄一
𥾱	糹扌乚
𥾲	糹⺊又
𥾳	糹丂儿
𥾴	糹口乚
𥾵	糹⺁又
𥾷	糹丿廾
𥾸	糹勹𰀪
𥾺	糹人人
𥾻	亠八糸
𥾼	糹亠了
𥾽	糹丶下
𥾾	糹亻卜
𥾿	糹𠂉十
𥿃	力口糸
𥿇	糹乙龰
𥿈	糹千又
𥿊	糹斤丶
𥿋	糹厶廾
𥿌	糹幺力
𥿎	糹夕㔾
𥿓	糹尸コ
𥿔	糸土乂
𥿕	糹⺊口
𥿖	糹囗儿
𥿗	糹口八
𥿙	糹丿丰
𥿚	土刀糸
𥿛	糹冂土
𥿜	糹𠂉小
𥿝	亻弋糸
𥿞	糹亻也
𥿟	屮八糸
𥿠	糸ナ巾
𥿡	糹尸匕
𥿣	糹工丂
𥿤	糹斤一
𥿥	糹亻士
𥿨	糹夕口
𥿩	冫欠糸
𥿫	糹夕夕
𥿬	糹䒑屮
𥿮	糹弋工
𥿰	糹乃木
𥿱	糹乃子
𥿲	糹コ丑
𥿴	糹七木
𥿸	糹夊巾
𥿺	糹亡女
𥿻	糸匕日
𥿼	糹亡𫶧
𥿽	糹宀女
𥿾	糹宀寸
𦀀	宀女糸
𦀂	十戈糸
𦀃	糹士巾
𦀄	糹囗兀
𦀅	糹𠂉㐄
𦀆	糹⺈日
𦀈	糹⺧儿
𦀉	糹几木
𦀊	糹大弓
𦀋	糹冫水
𦀌	糸女口
𦀍	糹厂止
𦀏	糹丩夊
𦀐	糹广土
𦀑	糹文刂
𦀔	糹由丂
𦀕	糹口巴
𦀚	糹口王
𦀜	糹爿士
𦀤	日大糸
𦀥	臼一糸
𦀪	糹亻白
𦀫	糹广犬
𦀬	糹丶艮
𦀭	糹火口
𦀮	糹文㐄
𦀰	糹不土
𦀳	糹丰寸
𦀴	糹艹亡
𦀶	糹囗夫
𦀸	糹白儿
𦀹	糹木寸
𦀻	糹己夊
𦀽	糹⺧口
𦀾	糹广木
𦀿	糹尸毛
𦁁	糹忄丑
𦁃	糹八田
𦁅	糹衤刀
𦁈	糹穴工
𦁉	糹立女
𦁋	立戈糸
𦁍	糹爫壬
𦁎	糹龷日
𦁏	糹大电
𦁑	糹大𢆉
𦁖	糹宀由
𦁗	糹止𣥂
𦁞	心心糸
𦁠	糸日月
𦁡	糹止龰
𦁣	糹子瓜
𦁧	糹子皿
𦁫	耳又糸
𦁬	龷日糸
𦁭	糹虍又
𦁰	糹由廾
𦁳	糹禾子
𦁴	糹臼丨
𦁵	糹⺈臼
𦁸	糹合卩
𦁻	糹白工
𦁼	糹木夊
𦁽	糹日王
𦁿	糹女古
𦂁	糹䒑𧰨
𦂇	糹虍夊
𦂈	糹由月
𦂉	糹千臼
𦂎	禾火糸
𦂏	糹火禾
𦂖	糹甶廾
𦂜	糹夭𢆉
𦂞	夕糹糸
𦂡	糹大羊
𦂢	糹甶丌
𦂥	糹石水
𦂪	糹甫力
𦂫	糹耳阝
𦂮	糹囗𠂭
𦂸	糸白辶
𦂺	糹立日
𦂼	糹其乚
𦂽	糹穴犬
𦃄	糹匚非
𦃇	糹⺁虎
𦃊	糹西木
𦃎	糹耳戈
𦃓	糹卯田
𦃘	糹尸辛
𦃝	糹艹糸
𦃟	爫糹糸
𦃡	糹夊糸
𦃧	糹白石
𦃨	糹臼木
𦃮	糹艹亥
𦃯	糹田皮
𦃰	糹罒电
𦃱	糹夭羊
𦃲	糹宀豕
𦃳	糹亦心
𦃶	糹匚隹
𦃸	糹耳火
𦄁	糹艮辶
𦄆	糹土里
𦄈	糹金刂
𦄔	糹穴至
𦄕	糹非土
𦄗	糹木貝
𦄘	糹爫豕
𦄙	糹⺮正
𦄞	糹門口
𦄤	糹戊臣
𦄼	糹彡頁
𦅃	糹隹灬
𦅅	糹立里
𦅈	糹壴彡
𦅏	糹而而
𦅐	上糸頁
𦅓	彡頁糸
𦅘	糹門日
𦅙	糹雨文
𦅝	糹⺶目
𦅤	糹門文
𦅨	彡糸頁
𦅰	糹西早
𦆕	糹車糹
𦆙	糹雨田
𦇑	糹麻手
𦇘	糹鹿禾
𦇫	糹魚羊
𦇺	糹麻非
𦈈	纟斤丶
𦈉	纟冖车
𦈌	纟木口
𦈍	纟尤止
𦈐	纟车辶
𦈑	纟西土
𦈗	纟匚非
𦈘	纟艹合
𦈜	纟隹木
𦈡	纟雨而
𦈢	𠂉一止
𦈣	缶一丂
𦈨	缶一廾
𦈩	工几缶
𦈬	止匕缶
𦈭	缶木丶
𦈯	口口缶
𦈰	缶土土
𦈱	冫欠缶
𦈳	氵也缶
𦈴	缶爫子
𦈶	缶不口
𦈻	缶戈戈
𦈿	缶白巾
𦉀	缶甶丂
𦉂	缶千里
𦉃	缶世木
𦉉	缶卯田
𦉊	缶甫寸
𦉌	缶虍手
𦉍	目目缶
𦉎	缶山隹
𦉘	缶尚牙
𦉮	冂乂匕
𦉲	冖儿十
𦉳	冂又又
𦉹	罒勹丶
𦊀	冂人亡
𦊁	罒匕匕
𦊂	罒一彑
𦊅	冖八犬
𦊊	罒一大
𦊋	冂乂木
𦊌	冂又月
𦊐	罒匚コ
𦊒	罒勹口
𦊔	罒囗又
𦊕	冂乂且
𦊖	冂乂古
𦊙	冖儿古
𦊚	罒木一
𦊣	冂乂电
𦊤	罒冂山
𦊥	罒日一
𦊧	囗又木
𦊨	冂人且
𦊫	罒⺌兀
𦊭	冂人合
𦊲	罒夊口
𦊳	罒冖巳
𦊵	罒木几
𦊸	罒亠日
𦊺	罒匚王
𦊼	罒口口
𦊾	罒不口
𦋁	罒日干
𦋂	罒日寸
𦋆	罒子瓜
𦋈	罒戈戈
𦋋	罒毛毛
𦋍	罒臼乚
𦋎	罒火火
𦋏	罒彐水
𦋒	罒𱼀斤
𦋝	罒糹寸
𦋯	罒瓜瓜
𦋳	罒罒正
𦋹	罒罒罒
𦋽	罒糹且
𦋾	罒虍且
𦌥	罒魚刂
𦌸	罒魚欠
𦍑	⺶乚丶
𦍓	羊丿七
𦍖	䒑ナ𱍸
𦍘	羊一兀
𦍙	一夕羊
𦍚	卝土火
𦍝	羊一幺
𦍞	羊一彑
𦍟	卝干丑
𦍠	羊厂力
𦍣	羊七凵
𦍥	羊𠂉也
𦍦	羊屮凵
𦍧	止匕羊
𦍪	羊人彡
𦍫	羊亠幺
𦍮	卝土丑
𦍯	⺷女厶
𦍰	⺷八廾
𦍲	⺊夕羊
𦍴	羊⺈小
𦍵	羊勹口
𦍶	⺷夊几
𦍸	⺷ナ寸
𦍹	夕夕羊
𦍺	羊宀子
𦍽	彐彐羊
𦎀	羊口大
𦎁	羊士口
𦎆	羊𱼀寸
𦎈	羊⺈用
𦎊	羊白八
𦎏	羊木口
𦎑	羊口口
𦎔	羊白儿
𦎕	⺷艹女
𦎗	羊戈戈
𦎜	羊豕丶
𦎝	目大羊
𦎟	⺷灬火
𦎠	羊尸古
𦎡	⺷大生
𦎣	羊西土
𦎨	𠃜目羊
𦎬	羊日生
𦎳	羊大貝
𦎴	羊⺷灬
𦎸	羊龶貝
𦎽	羊艹見
𦏀	羊不見
𦏆	羊立里
𦏌	羊而而
𦏐	合羊羊
𦏔	羊壴口
𦏞	𣎆羊丶
𦏳	习习乚
𦏵	习习弋
𦏷	大习习
𦏸	习习也
𦏹	习习干
𦏺	工习习
𦏼	工习习
𦏽	习习寸
𦏿	山习习
𦐀	习习亡
𦐁	也习习
𦐂	习习戈
𦐆	习习巴
𦐇	日习习
𦐐	习习文
𦐑	文习习
𦐔	习习木
𦐕	习习世
𦐚	习习白
𦐞	世习习
𦐢	皮习习
𦐤	亥习习
𦐩	习习舟
𦐬	习习合
𦐹	习习辛
𦑏	习习隹
𦑐	习习叀
𦑕	习习金
𦑜	革习习
𦒲	耂匕几
𦒴	耂匕山
𦒵	耂匕口
𦒶	耂勹𰀪
𦒻	耂⺊口
𦒿	耂匕目
𦓄	高耂匕
𦓕	而电丿
𦓘	而而彡
𦓞	山而甫
𦓥	丰八卩
𦓦	丰八卜
𦓧	丰八八
𦓨	丰八巳
𦓫	夊丰八
𦓵	丰八里
𦓶	丰八辰
𦓹	丰八來
𦓿	丰八其
𦔹	耳又丶
𦔼	耳⺊又
𦔿	耳一大
𦕀	耳七刀
𦕁	乚彐耳
𦕃	耳⺆亠
𦕇	耳一幺
𦕈	耳小丿
𦕉	小丿耳
𦕊	耳口乚
𦕋	耳冂又
𦕍	耳冖几
𦕎	耳八丂
𦕏	耳口丨
𦕐	耳卄二
𦕒	耳⺊口
𦕓	工几耳
𦕔	耳⺈尸
𦕕	夕㔾耳
𦕖	耳丿止
𦕗	耳𠂉小
𦕙	耳勹口
𦕛	耳巳七
𦕟	耳丶水
𦕠	耳龷八
𦕢	⺊耳壬
𦕤	耳⺌兀
𦕥	丰刀耳
𦕧	耳戈ナ
𦕪	不耳又
𦕫	耳人止
𦕬	耳夕阝
𦕭	耳巛工
𦕯	耳巛大
𦕰	耳几木
𦕳	耳耂匕
𦕴	龶力耳
𦕵	耳宀牛
𦕶	耳扌斤
𦕷	耳工水
𦕽	耳亻申
𦕿	耳耳乚
𦖀	耳爫子
𦖈	耳大电
𦖍	耳日木
𦖑	耳宀且
𦖗	爫木耳
𦖘	耳人舌
𦖙	耳臼丂
𦖚	耳臼又
𦖛	耳甶丂
𦖠	耳火火
𦖢	耳立日
𦖣	耳丷酉
𦖤	耳日生
𦖩	而大耳
𦖷	田心耳
𦖻	耳田心
𦖿	耳艹合
𦗂	耳而心
𦗌	耳爫臼
𦗐	耳立𧰨
𦗚	車斤耳
𦗝	耳車斤
𦗠	耳隹灬
𦗡	耳西早
𦗧	耳⺮合
𦗫	耳艹雨
𦗬	耳門日
𦗭	壴彡耳
𦗳	耳曲辰
𦗴	耳尚田
𦗾	金舌耳
𦘁	耳門耳
𦘄	耳辛豕
