㑇	亻 负字头 彐
殞	歹 口 目 八
殟	歹 日 皿
殠	歹 自 犬
殡	歹 宀 丘无横 1 八
殢	歹 廿 儿 冖 巾
殣	歹 廿 口 龶
殤	歹 卧人 日 1 勿
殥	歹 宀 1 由 八
殦	歹 3 见二 三 5 灬
殧	歹 享字头 小 尤
殨	歹 贵字头 目 八
殩	歹 歺 又 米
殪	歹 壳字头 同字心 䒑
殫	歹 口 口 日 十
殬	歹 罒 土 南字心
殭	歹 1 田 1 田 1
殮	歹 亼 口 口 人 人
殯	歹 宀 1 步字底 目 八
殰	歹 士 罒 目 八
殱	歹 十 戈 非 1
殲	歹 人 人 戈 非 1
殳	殳
殴	匚 乂 殳
段	段字旁 殳
殶	4 斜玉 殳
殷	反字框 彐 5 殳
殸	士 眉字框 殳
殹	匚 矢 殳
殺	乂 朩 殳
殻	壳字头 几 殳
殼	壳字头 1 几 殳
殽	乂 左字框 青字底 殳
殾	者 殳
殿	尸 共 殳
毀	臼 土 殳
毁	臼 工 殳
毂	壳字头 车旁 殳
毃	高 殳
毄	1 日 十 口 殳
毅	立 豕省 殳
毆	匚 口 口 口 殳
毇	臼 米 殳
毈	卯 4 4 段字旁 殳
毉	匚 矢 殳 工 人 人
毊	士 眉字框 殳 3 大 口 冂 口
毋	毋
毌	贯字头
母	母
毎	卧人 贯字头
每	卧人 母
毐	士 毋
毑	母 也
毒	龶 母
毓	卧人 母 充字头 荒字底
比	比字旁 匕
毕	比字旁 匕 十
毖	比字旁 匕 心 3
毗	田 比字旁 匕
毘	田 比字旁 匕
毙	比字旁 匕 歹 匕
毚	负字头 口 比字旁 匕 兔
毛	毛
毜	毛 小
毝	毛 彡
毞	比字旁 匕 毛
毟	少三 3 毛
毠	力 口 毛
毡	毛 卢字头 口
毢	毛 西
毣	羽 毛
毤	八 厶 儿 毛
毥	毛 勹 日
毦	耳 毛
毧	毛 戈 左字框
毨	毛 告字头 儿
毩	毛 米
毪	毛 厶 牛
毫	享字头 冖 毛
毬	毛 于无横 率字腰 4
毭	同字心 䒑 毛
毮	扌 少三 3 毛
毯	毛 火 火
毰	毛 立 口
毱	毛 勹 米
毲	又 又 又 又 毛
毳	毛 毛 毛
毴	毛 非
毵	厶 大 彡 毛
毶	毛 厶 大 彡
毷	冒字头 目 毛
毸	毛 田 心
毹	亼 青字底 刂 毛
毺	毛 亼 青字底 刂
毻	左字框 工 青字底 毛
毼	日 勹 亾 毛
毽	毛 聿 廴
毾	日 羽 毛
毿	厶 厶 厶 全字头 彡 毛
氀	口 十 口 女 毛
氁	毛 艹 日 大
氂	未 攵 厂 毛
氃	立 里 毛
氄	予 3 冂 八 口 毛
氅	尚 攵 毛
氆	毛 䒑 业 日
氇	毛 鱼 日
氈	亠 囗 口 日 1 毛
氉	口 口 口 木 毛
氊	毛 亠 囗 口 日 1
氋	艹 冖 1 豕 毛
氌	毛 负字头 田 灬 日
氍	目 目 隹 毛
氎	田 田 田 宀 2 候右角 4 毛
氏	氏
氐	氏 4
民	民
氒	氏 十
氓	亡 民
气	气
氕	气 3
氖	气 乃
気	气 乂
氘	气 乔字底
氙	气 山
氚	气 川
氛	气 八 刀
氜	气 日
氝	气 冂 人
氞	气 1 冂 人
氟	气 弗
氠	气 日 2
氡	气 夂 冬字底
氢	气 经右角 工
氣	气 米
氤	气 囗 大
氥	气 西
氦	气 亥
氧	气 羊
氨	气 宀 女
氩	气 1 业
氪	气 古 儿
氫	气 1 巛 工
氬	气 1 2 1 5 5 1 2 1
氭	气 木框 日
氮	气 火 火
氯	气 录字头 氺
氰	气 龶 青字底
氱	气 日 1 勿
氲	气 日 皿
氳	气 囗 人 皿
水	水
氵	氵
氶	了 水字框
氷	4 水
永	4 永无点
氹	6 水
氺	氺
氻	氵 力
氼	水 人
氽	全字头 水
氾	氵 㔾
氿	氵 九
汀	氵 丁
汁	氵 十
求	于无横 率字腰 4
汃	氵 八
汄	氵 人
汅	氵 1 5
汆	入 水
汇	氵 匚
汈	氵 5 1
汉	氵 又
汊	氵 又 4
汋	氵 勹 4
汌	氵 川
汍	氵 丸
汎	氵 几 4
汏	氵 大
汐	氵 夕
汑	氵 3 七
汒	氵 亡
汓	氵 子
汔	氵 卧人 6
汕	氵 山
汖	山 水
汗	氵 干
汘	氵 千
汙	氵 1 于无横
汚	氵 二 5
汛	氵 5 十
汜	氵 巳
汝	氵 女
汞	工 水
江	氵 工
池	氵 也
污	氵 二 5
汢	氵 土
汣	氵 久二 4
汤	氵 5 横两撇
汥	氵 支
汦	氵 氏
汧	氵 1 廾
汨	氵 日
汩	氵 曰
汪	氵 王
汫	氵 井
汬	井 水
汭	氵 冂 人
汮	氵 勹 冫
汯	氵 左字框 厶
汰	氵 大 4
汱	氵 犬
汲	氵 及
汳	氵 反字框 又
汴	氵 亠 卜
汵	氵 今
汶	氵 文
汷	氵 夂
汸	氵 方
汹	氵 乂 凵
決	氵 候右角 人
汻	氵 卧人 十
汼	氵 牛
汽	氵 气
汾	氵 八 刀
汿	氵 予
沀	水 予
沁	氵 心
沂	氵 斤
沃	氵 3 大
沄	氵 云
沅	氵 二 儿
沆	氵 亠 几
沇	氵 厶 儿
沈	氵 冖 儿
沉	氵 冖 几
沊	冖 儿 水
沋	氵 尤
沌	氵 1 屯无横
沍	氵 1 彑
沎	氵 亻 化字边
沏	氵 七 刀
沐	氵 木
沑	氵 5 里无日
沒	氵 勹 又
沓	水 日
沔	氵 1 2 5 5
沕	氵 勿
沖	氵 口 2
沗	1 大 氺
沘	氵 比字旁 匕
沙	氵 少三 3
沚	氵 止
沛	氵 1 巾
沜	氵 片
沝	水 水
沞	氵 1 巾
沟	氵 勹 厶
沠	氵 爪
没	氵 殳
沢	氵 尸 4
沣	氵 丰
沤	氵 匚 乂
沥	氵 厂 力
沦	氵 全字头 匕
沧	氵 全字头 㔾
沨	氵 风省 乂
沩	氵 4 为字框 4
沪	氵 户
沫	氵 1 木
沬	氵 未
沭	氵 木 4
沮	氵 且
沯	水 石
沰	氵 石
沱	氵 宀 匕
沲	氵 卧人 也
河	氵 可
沴	氵 全字头 彡
沵	氵 负字头 小
沶	氵 示
沷	氵 左字框 又 4
沸	氵 弗
油	氵 由
沺	氵 田
治	氵 厶 口
沼	氵 刀 口
沽	氵 古
沾	氵 卢字头 口
沿	氵 几 口
泀	氵 5 同字心
況	氵 口 儿
泂	氵 冂 口
泃	氵 句
泄	氵 廿 5
泅	氵 囗 人
泆	氵 3 夫
泇	氵 力 口
泈	氵 夂 冬字底
泉	白 水
泊	氵 白
泋	氵 十 廾
泌	氵 心 3
泍	氵 木 1
泎	氵 乍
泏	氵 屮 凵
泐	氵 阝 力
泑	氵 幺 力
泒	氵 瓜
泓	氵 弓 厶
泔	氵 甘
法	氵 土 厶
泖	氵 卯
泗	氵 四
泘	氵 3 丷 于无横
泙	氵 干 丷
泚	氵 止 匕
泛	氵 3 之
泜	氵 氏 4
泝	氵 斤 4
泞	氵 宀 丁
泟	氵 1 止
泠	氵 今 4
泡	氵 勹 巳
波	氵 皮
泣	氵 立
泤	氵 以字旁 人
泥	氵 尸 匕
泦	氵 尸 九
泧	氵 戉
注	氵 4 斜玉
泩	氵 生
泪	氵 目
泫	氵 亠 幺
泬	氵 穴
泭	氵 亻 寸
泮	氵 丷 举字底
泯	氵 民
泰	春字头 氺
泱	氵 见二 大
泲	氵 3 5 2 3
泳	氵 4 永无点
泴	水 皿
泵	石 水
泶	学无子 水
泷	氵 龙
泸	氵 卢字头 尸
泹	氵 日 1
泺	氵 乐二 小
泻	氵 冖 与
泼	氵 发无又 又
泽	氵 又 举字底
泾	氵 经右角 工
泿	氵 艮
洀	氵 舟
洁	氵 士 口
洂	氵 亠 亦字底
洃	氵 左字框 火
洄	氵 囗 口
洅	氵 1 冂 里无日
洆	氵 了 水字框 1
洇	氵 囗 大
洈	氵 负字头 厂 㔾
洉	氵 反字框 1 口
洊	氵 左字框 2 子
洋	氵 羊
洌	氵 歹 刂
洍	氵 颐字旁
洎	氵 自
洏	氵 而
洐	氵 彳 亍
洑	氵 亻 犬
洒	氵 西
洓	氵 木框 冂
洔	氵 土 寸
洕	氵 八 青字底
洖	氵 口 1 大
洗	氵 告字头 儿
洘	氵 耂 1 5
洙	氵 3 未
洚	氵 夂 㐄
洛	氵 各
洜	各 水
洝	氵 宀 女
洞	氵 冂 同字心
洟	氵 大框 弓
洠	氵 厶 牛
洡	氵 耒
洢	氵 亻 聿三 3
洣	氵 米
洤	氵 全字头 王
津	氵 聿
洦	氵 1 白
洧	氵 左字框 青字底
洨	氵 六 乂
洩	氵 日 5 3
洪	氵 共
洫	氵 3 皿
洬	氵 风省 歹
洭	氵 匚 王
洮	氵 儿 率字腰
洯	丰 刀 水
洰	氵 匚 叚右角
洱	氵 耳
洲	氵 横三点 川
洳	氵 女 口
洴	氵 䒑 廾
洵	氵 勹 日
洶	氵 勹 乂 凵
洷	氵 至
洸	氵 光
洹	氵 1 日 1
洺	氵 夕 口
活	氵 舌
洼	氵 土 土
洽	氵 亼 口
派	氵 反字框 旅下角
洿	氵 大 二 5
浀	氵 曲
流	氵 充字头 荒字底
浂	氵 䒑 大
浃	氵 夫 丷
浄	氵 负字头 争字底
浅	氵 1 戈
浆	丬 夕 水
浇	氵 尧字头 1 儿
浈	氵 卢字头 贝
浉	氵 师字旁 1 巾
浊	氵 虫
测	氵 贝 刂
浌	氵 亻 戈
浍	氵 全字头 云
济	氵 齐
浏	氵 文 刂
浐	氵 立无横 厂
浑	氵 冖 车
浒	氵 讠 卧人 十
浓	氵 冖 衣省
浔	氵 彐 寸
浕	氵 尸 4 冬字底
浖	氵 爫 寸
浗	氵 于无横 率字腰 4
浘	氵 尸 毛
浙	氵 扌 斤
浚	氵 厶 傻下角
浛	氵 今 口
浜	氵 丘无横 1 八
浝	氵 尤 彡
浞	氵 足
浟	氵 亻 2 攵
浠	氵 乂 左字框 巾
浡	氵 十 冖 子
浢	氵 同字心 䒑
浣	氵 宀 二 儿
浤	氵 宀 左字框 厶
浥	氵 口 巴
浦	氵 甫
浧	氵 口 王
浨	氵 宀 木
浩	氵 告字头 口
浪	氵 4 艮
浫	氵 㓁 干
浬	氵 里
浭	氵 1 日 乂
浮	氵 爫 子
浯	氵 五 口
浰	氵 禾 刂
浱	氵 辰
浲	氵 夂 丰
浳	氵 弋 青字底
浴	氵 谷
浵	氵 周字框 亠 彡
浶	氵 宀 牛
海	氵 卧人 母
浸	氵 彐 冖 又
浹	氵 大 人 人
浺	氵 忄 口 2
浻	氵 冂 八 口
浼	氵 负字头 口 儿
浽	氵 爫 女
浾	氵 土 亦字底
浿	氵 目 八
涀	氵 目 儿
涁	氵 木 彡
涂	氵 全字头 余字底
涃	氵 囗 木
涄	氵 由 1 5
涅	氵 日 土
涆	氵 日 干
涇	氵 1 巛 工
消	氵 尚字头 青字底
涉	氵 止 步字底
涊	氵 刀 4 心
涋	氵 宀 犬
涌	氵 龴 甬字底
涍	氵 耂 子
涎	氵 3 延字心无撇 廴
涏	氵 壬 廴
涐	氵 3 扌 戈
涑	氵 束
涒	氵 聿三 3 口
涓	氵 口 青字底
涔	氵 山 今
涕	氵 丷 弟省
涖	氵 亻 立
涗	氵 八 口 儿
涘	氵 厶 矢
涙	氵 户 大
涚	氵 丷 口 儿
涛	氵 寿字头 寸
涜	氵 壳字头 儿
涝	氵 艹 冖 力
涞	氵 未 丷
涟	氵 车 辶
涠	氵 囗 韦
涡	氵 口 冂 人
涢	氵 口 贝
涣	氵 负字头 见二 大
涤	氵 夂 朩
涥	氵 享字头 了
润	氵 门 王
涧	氵 门 日
涨	氵 弓 长
涩	氵 刀 4 止
涪	氵 立 口
涫	氵 宀 㠯
涬	氵 土 南字心
涭	氵 爫 冖 又
涮	氵 尸 巾 刂
涯	氵 厂 土 土
涰	氵 又 又 又 又
涱	氵 1 2 三 畏字底
液	氵 亠 亻 夂 4
涳	氵 穴 工
涴	氵 宀 夕 㔾
涵	氵 了 率字腰 凵
涶	氵 垂
涷	氵 木框 日
涸	氵 囗 古
涹	氵 禾 女
涺	氵 尸 古
涻	氵 全字头 舍字底
涼	氵 享字头 小
涽	氵 氏 日
涾	氵 水 日
涿	氵 豕 4
淀	氵 宀 定字底
淁	氵 立 女
淂	氵 日 1 寸
淃	氵 龹 㔾
淄	氵 巛 田
淅	氵 木 斤
淆	氵 乂 左字框 青字底
淇	氵 其
淈	氵 尸 屮 凵
淉	氵 日 木
淊	氵 负字头 臼
淋	氵 木 木
淌	氵 尚
淍	氵 周字框 土 口
淎	氵 春字头 举字底
淏	氵 日 1 大
淐	氵 日 日
淑	氵 卢字头 1 小 又
淒	氵 1 妻字头无横 女
淓	氵 艹 方
淔	氵 十 具字头
淕	氵 土 八 土
淖	氵 卢字头 早
淗	氵 勹 米
淘	氵 勹 缶
淙	氵 宀 示
淚	氵 户 犬
淛	氵 牛 冂 刂
淜	氵 月 月
淝	氵 月 巴
淞	氵 木 八 厶
淟	氵 见二 龷 八
淠	氵 田 丌
淡	氵 火 火
淢	氵 戈 口 1
淣	氵 臼 儿
淤	氵 方 全字头 冬字底
淥	氵 彑 氺
淦	氵 金
淧	氵 宀 心 3
淨	氵 爫 争字底
淩	氵 土 傻下角
淪	氵 亼 扁字心
淫	氵 爫 壬
淬	氵 亠 人 人 十
淭	氵 户 木
淮	氵 隹
淯	氵 充字头 青字底
淰	氵 今 心
深	氵 㓁 木
淲	氵 虎
淳	氵 享字头 子
淴	氵 勿 心
淵	氵 乔字底 2 1 5 1 5 1 2
淶	氵 木框 人 人
混	氵 日 比字旁 匕
淸	氵 龶 冂 2 1
淹	氵 大 日 5
淺	氵 戈 戈
添	氵 1 大 恭字底
淼	水 水 水
淽	氵 艹 止
淾	金 水
淿	氵 白 巾
渀	氵 大 十 廾
渁	氵 水 水
渂	氵 日 文
渃	氵 艹 左字框 口
渄	氵 非
清	氵 龶 青字底
渆	氵 䒑 廾 刂
渇	氵 日 勹 匕
済	氵 齐 二
渉	氵 止 少三 3
渊	氵 3 米 2
渋	氵 止 率字腰
渌	氵 录字头 氺
渍	氵 龶 贝
渎	氵 卖字头 冬字底 大
渏	氵 大 可
渐	氵 车旁 斤
渑	氵 口 日 5
渒	氵 白 3 十
渓	氵 爫 夫
渔	氵 鱼
渕	氵 䒑 大 刂
渖	氵 宀 日 2
渗	氵 厶 大 彡
渘	氵 予 3 木
渙	氵 负字头 见二 八 大
渚	氵 者
減	氵 戊 同字心
渜	氵 而 大
渝	氵 亼 青字底 刂
渞	氵 䒑 自
渟	氵 享字头 冖 丁
渠	氵 匚 叚右角 木
渡	氵 广 廿 又
渢	氵 风省 3 虫
渣	氵 木 日 1
渤	氵 十 冖 子 力
渥	氵 尸 至
渦	氵 见二 5 冂 口
渧	氵 立无横 冖 巾
渨	氵 田 1 畏字底
温	氵 日 皿
渪	氵 3 口 禺下
渫	氵 廿 5 木
測	氵 目 八 刂
渭	氵 田 青字底
渮	氵 艹 可
港	氵 共 巳
渰	氵 亼 口 廾
渱	氵 虫 工
渲	氵 宀 1 日 1
渳	氵 弓 耳
渴	氵 日 勹 亾
渵	氵 艹 田
渶	氵 艹 见二 大
渷	氵 亠 八 口 儿
游	氵 方 卧人 子
渹	氵 勹 言
渺	氵 目 少三 3
渻	氵 少三 3 目
渼	氵 美字头 大
渽	氵 十 戈 口
渾	氵 冖 1 日 十
渿	氵 木 示
湀	氵 癶 1 大
湁	氵 扌 亼 口
湂	氵 口 口 二 5
湃	氵 龵 1 丰
湄	氵 眉字框 目
湅	氵 束 丷
湆	氵 音
湇	氵 立 青字底
湈	氵 甘 木
湉	氵 忄 舌
湊	氵 春字头 1 大
湋	氵 候右角 2 口 㐄
湌	氵 食
湍	氵 山 而
湎	氵 面
湏	氵 1 3 目 八
湐	氵 木 白
湑	氵 疋 青字底
湒	氵 口 耳
湓	氵 八 刀 皿
湔	氵 䒑 青字底 刂
湕	氵 聿 廴
湖	氵 古 月
湗	氵 土 土 寸
湘	氵 木 目
湙	氵 亠 亦字底 大
湚	氵 3 幺 青字底 5
湛	氵 其 5
湜	氵 日 定字底
湝	氵 比字旁 匕 白
湞	氵 卢字头 目 八
湟	氵 白 王
湠	氵 山 左字框 火
湡	氵 日 禺下
湢	氵 同字心 田
湣	氵 民 日
湤	氵 方 卧人 也
湥	氵 穴 犬
湦	氵 日 生
湧	氵 龴 甬字底 力
湨	氵 目 犬
湩	氵 千 里
湪	氵 彑 豕省
湫	氵 禾 火
湬	禾 火 水
湭	氵 丷 酉
湮	氵 覀 土
湯	氵 日 1 勿
湰	氵 夂 1 生
湱	氵 丰 石
湲	氵 爫 1 左字框 又
湳	氵 十 冂 南字心
湴	氵 䒑 业
湵	氵 美字头 久二 4
湶	氵 白 水
湷	氵 春字头 日
湸	氵 享字头 冖 几
湹	氵 厂 里
湺	氵 亻 口 木
湻	氵 享字头 日
湼	氵 臼 工
湽	氵 1 巛 田
湾	氵 亠 变字头无亠 弓
湿	氵 日 业
満	氵 艹 1 冂 山
溁	氵 艹 冖 木
溂	氵 束 刂
溃	氵 贵字头 贝
溄	氵 山 夂 举字底
溅	氵 贝 1 戈
溆	氵 全字头 余字底 又
溇	氵 米 女
溈	氵 刀中 5 5 5 灬
溉	氵 即字旁 旡
溊	氵 叚字旁无二 二 叚右角 又
溋	氵 乃 又 皿
溌	氵 癶 二 儿
溍	氵 1 业 日
溎	氵 木 土 土
溏	氵 广 肀 口
源	氵 厂 白 小
溑	氵 尚字头 目 八
溒	氵 土 口 衣省
溓	氵 兼
溔	氵 美字头 灬
溕	氵 冖 1 豕
準	氵 隹 十
溗	氵 禾框 北字旁 匕
溘	氵 土 厶 皿
溙	氵 春字头 氺
溚	氵 艹 亼 口
溛	氵 穴 瓜
溜	氵 留字头 田
溝	氵 1 龷 冂 里无日
溞	氵 又 4 虫
溟	氵 冖 日 六
溠	氵 差字头 工
溡	氵 日 土 寸
溢	氵 益字头 皿
溣	氵 亻 亼 扁字心
溤	氵 1 2 举字底 5 灬
溥	氵 甫 寸
溦	氵 山 1 几 攵
溧	氵 覀 木
溨	氵 十 戈 木
溩	氵 3 见二 二 5 灬
溪	氵 爫 幺 大
溫	氵 囗 人 皿
溬	氵 差字头 5 厶
溭	氵 田 八 夂
溮	氵 3 㠯 1 巾
溯	氵 䒑 䶹 月
溰	氵 山 同字心 䒑
溱	氵 春字头 禾
溲	氵 臼 2 又
溳	氵 口 目 八
溴	氵 自 犬
溵	氵 反字框 彐 5 殳
溶	氵 宀 谷
溷	氵 囗 豕
溸	氵 龶 糸
溹	氵 十 冖 糸
溺	氵 弓 冫 弓 冫
溻	氵 日 羽
溼	氵 1 幺 幺 土
溽	氵 辰 寸
溾	氵 鬼
溿	氵 田 丷 举字底
滀	氵 亠 幺 田
滁	氵 阝 全字头 余字底
滂	氵 立无横 冖 方
滃	氵 八 厶 羽
滄	氵 全字头 4 尸 1 口
滅	氵 戊 1 火
滆	氵 鬲
滇	氵 十 具字头 八
滈	氵 高
滉	氵 日 光
滊	氵 气 米
滋	氵 䒑 幺 幺
滌	氵 亻 2 夂 朩
滍	氵 屮 1 虫
滎	火 火 冖 水
滏	氵 八 乂 干 䒑
滐	氵 夕 㐄 木
滑	氵 骨
滒	氵 可 可
滓	氵 宀 辛
滔	氵 爫 臼
滕	月 龹 氺
滖	氵 享字头 1 衣省
滗	氵 竹头 毛
滘	氵 㓁 工 口
滙	氵 匚 隹
滚	氵 六 厶 衣省
滛	氵 爫 缶
滜	氵 白 大 十
滝	氵 立 日 5
滞	氵 带字头 冖 巾
滟	氵 丰 负字头 巴
滠	氵 耳 又 又
满	氵 艹 两
滢	氵 艹 冖 斜玉 4
滣	氵 辰 口
滤	氵 虍 心
滥	氵 临字旁 临右角 皿
滦	氵 亠 变字头无亠 木
滧	氵 六 乂 攵
滨	氵 宀 丘无横 1 八
滩	氵 难
滪	氵 予 页
滫	氵 亻 2 夂 青字底
滬	氵 户 口 巴
滭	氵 日 龷 十
滮	氵 虎 彡
滯	氵 廿 儿 冖 巾
滰	氵 音 儿
滱	氵 宀 二 儿 卢字头 又
滲	氵 厶 厶 厶 全字头 彡
滳	氵 立无横 冂 八 口
滴	氵 立无横 冂 古
滵	氵 宀 心 3 山
滶	氵 龶 万无横 攵
滷	氵 卢字头 囗 乂 4 横两点 4
滸	氵 言 卧人 十
滹	氵 虍 3 丷 于无横
滺	氵 亻 2 攵 心
滻	氵 立无横 厂 生
滼	氵 木 木 几 4
滽	氵 广 肀 青字底
滾	氵 六 口 衣省
滿	氵 廿 巾 入 入
漀	士 眉字框 殳 水
漁	氵 负字头 田 灬
漂	氵 覀 示
漃	氵 宀 卢字头 1 小 又
漄	氵 山 厂 土 土
漅	氵 巛 日 木
漆	氵 木 全字头 氺
漇	氵 彳 止 龰
漈	氵 祭字头 示
漉	氵 鹿
漊	氵 口 十 口 女
漋	氵 阝 夂 1 生
漌	氵 廿 口 龶
漍	氵 囗 戈 口 1
漎	氵 彳 人 人 龰
漏	氵 尸 雨
漐	土 南字心 丸 水
漑	氵 白 比字旁 旡
漒	氵 弓 口 虫
漓	氵 亠 乂 凵 禸
演	氵 宀 1 由 八
漕	氵 1 曲 日
漖	氵 耂 子 攵
漗	氵 囱字框 夂 心
漘	氵 辰 青字底
漙	氵 1 日 虫无口 寸
漚	氵 匚 口 口 口
漛	氵 龹 氺
漜	氵 木 木 土
漝	氵 羽 白
漞	氵 爫 目 儿
漟	氵 尚头 土
漠	氵 艹 日 大
漡	氵 卧人 日 1 勿
漢	氵 廿 口 夫
漣	氵 1 日 十 辶
漤	氵 木 木 女
漥	氵 穴 土 土
漦	未 攵 厂 水
漧	氵 十 早 卧人 6
漨	氵 夂 丰 辶
漩	氵 方 卧人 疋
漪	氵 犭 大 可
漫	氵 日 罒 又
漬	氵 龶 目 八
漭	氵 艹 犬 廾
漮	氵 广 隶字框 率字腰
漯	氵 田 糸
漰	氵 山 月 月
漱	氵 束 欠
漲	氵 弓 1 2 三 畏字底
漳	氵 立 早
漴	氵 山 宀 示
漵	氵 全字头 余字底 攵
漶	氵 口 口 2 心
漷	氵 享字头 子 阝
漸	氵 1 日 十 斤
漹	氵 1 止 与无横 灬
漺	氵 大框 乂 乂 乂 乂
漻	氵 羽 全字头 彡
漼	氵 山 隹
漽	氵 尸 氺 牛
漾	氵 美字头 4 永无点
漿	爿 然左角 寸 水
潀	氵 罒 亻 人 人
潁	匕 水 1 3 目 八
潂	氵 山 䒑 业
潃	氵 彳 夂 青字底
潄	氵 束 攵
潅	氵 卧人 1 隹
潆	氵 艹 冖 糸
潇	氵 艹 肀 乔字底 八
潈	氵 罒 豕省
潉	氵 山 日 比字旁 匕
潊	氵 全字头 余字底 卢字头 又
潋	氵 亼 应字心 攵
潌	氵 穴 至
潍	氵 维
潎	氵 㡀 攵
潏	氵 予 3 冂 八 口
潐	氵 隹 灬
潑	氵 癶 弓 殳
潒	氵 象
潓	氵 1 日 虫无口 心
潔	氵 丰 刀 糸
潕	氵 舞字头 灬
潖	氵 王 王 巴
潗	氵 隹 木
潘	氵 3 米 田
潙	氵 爫 3 5 5 5 灬
潚	氵 肀 乔字底 2 1 5 1 5 1 2
潛	氵 旡 旡 日
潜	氵 夫 夫 日
潝	氵 亼 口 羽
潞	氵 足旁 各
潟	氵 臼 勹 灬
潠	氵 巳 巳 共
潡	氵 享字头 子 攵
潢	氵 龷 由 八
潣	氵 见二 二 冂 二 文
潤	氵 见二 二 冂 二 王
潥	氵 覀 米
潦	氵 大变 丷 日 小
潧	氵 丷 曾字头无丷 日
潨	氵 3 皿 乑
潩	氵 田 共
潪	氵 矢 口 日
潫	氵 龹 糸
潬	氵 口 口 日 十
潭	氵 覀 早
潮	氵 十 早 月
潯	氵 彐 工 口 寸
潰	氵 贵字头 目 八
潱	氵 壳字头 同字心 䒑
潲	氵 禾 尚字头 青字底
潳	氵 尸 者
潴	氵 犭 者
潵	氵 龷 青字底 攵
潶	氵 黑
潷	氵 竹头 聿
潸	氵 木 木 青字底
潹	氵 木 木 木
潺	氵 尸 子 子 子
潻	氵 禾 全字头 氺
潼	氵 立 里
潽	氵 䒑 业 日
潾	氵 米 夕 㐄
潿	氵 囗 候右角 2 口 㐄
澀	氵 刀 4 刀 4 止 止
澁	氵 止 止 止
澂	氵 山 1 王 攵
澃	彡 1 3 目 八 水
澄	氵 癶 同字心 䒑
澅	氵 聿三 土 田 1
澆	氵 土 土 土 1 儿
澇	氵 火 火 冖 力
澈	氵 充字头 青字底 攵
澉	氵 5 耳 攵
澊	氵 丷 酉 寸
澋	氵 日 享字头 小
澌	氵 其 斤
澍	氵 壴 寸
澎	氵 壴 彡
澏	氵 口 口 口 山
澐	氵 雨头 云
澑	氵 1 临字旁 匚 叚右角 田
澒	氵 工 1 3 目 八
澓	氵 彳 卧人 日 夂
澔	氵 白 告字头 口
澕	氵 艹 1 贲字腰 举字底
澖	氵 见二 二 冂 二 木
澗	氵 见二 二 冂 二 日
澘	氵 木 木 日
澙	氵 臼 与无横 灬
澚	氵 3 冂 米 1 5
澛	氵 鱼 日
澜	氵 门 束 丷
澝	氵 宀 心 甬字底
澞	氵 虍 口 1 大
澟	氵 亠 囗 口 禾
澠	氵 临字旁 叚右角 1 5 三 2 彐
澡	氵 口 口 口 木
澢	氵 尚头 田
澣	氵 十 早 全字头 干
澤	氵 罒 土 南字心
澥	氵 负字头 用 刀 牛
澦	氵 予 1 3 目 八
澧	氵 曲 同字心 䒑
澨	氵 竹头 工 人 人
澩	臼裂 乂 乂 冖 水
澪	氵 雨头 今 4
澫	氵 艹 日 禺下
澬	氵 冫 欠 目 八
澭	氵 亠 乡 隹
澮	氵 亼 曾字头无丷 日
澯	氵 歺 又 米
澰	氵 亼 口 口 人 人
澱	氵 尸 共 殳
澲	氵 业 䒑 未
澳	氵 3 冂 米 大
澴	氵 罒 同字心 衣省
澵	氵 立 朩 斤
澶	氵 亠 囗 口 日 1
澷	氵 日 罒 方
澸	氵 戊 同字心 心
澹	氵 负字头 厂 八 言
澺	氵 音 心
澻	氵 䒑 豕省 辶
澼	氵 尸 口 辛
澽	氵 虍 豕
澾	氵 土 羊 辶
澿	氵 木 木 示
激	氵 白 方 攵
濁	氵 罒 勹 虫
濂	氵 广 兼
濃	氵 曲 辰
濄	氵 见二 5 冂 口 辶
濅	氵 宀 彐 冖 巾 又
濆	氵 十 贲字腰 目 八
濇	氵 土 人 人 囗 口
濈	氵 口 耳 戈
濉	氵 目 隹
濊	氵 止 戊 1 步字底
濋	氵 木 木 疋
濌	千 里 水 日
濍	氵 艹 勿 4 心
濎	氵 目 鼎左角 鼎右角
濏	氵 王 王 心 3
濐	氵 日 者
濑	氵 束 负字头 贝
濒	氵 止 步字底 页
濓	氵 立无横 厂 肀 2 八
濔	氵 1 八 巾 乂 乂 乂 乂
濕	氵 日 幺 幺 灬
濖	氵 罒 者
濗	氵 艹 日 大 巾
濘	氵 宀 心 皿 丁
濙	氵 火 火 冖 火
濚	氵 火 火 冖 木
濛	氵 艹 冖 1 豕
濜	氵 肀 1 皿
濝	氵 其 糸
濞	氵 自 田 丌
濟	氵 亠 丷 2 刀 卬字旁 4 乔字底 二
濠	氵 享字头 冖 豕
濡	氵 雨头 而
濢	氵 羽 亠 人 人 十
濣	氵 十 早 全字头 冬字底 十
濤	氵 士 5 工 1 口 寸
濥	氵 夕 宀 1 由 八
濦	氵 爫 工 彐 心
濧	氵 业 美字头 寸
濨	氵 䒑 幺 幺 心
濩	氵 艹 隹 又
濪	氵 龶 青字底 负字头 巴
濫	氵 臣 临右角 皿
濬	氵 卢字头 冖 1 八 全字头 目
濭	氵 艹 土 厶 皿
濮	氵 亻 业 养字头
濯	氵 羽 隹
